Species ID,common_name
ACAD-1367,Blue-Headed Vireo
ACAD-1367,Solitary Vireo
ACAD-1368,American Egret
ACAD-1368,Common Egret?
ACAD-1368,Great Egret
ACAD-1369,Great Blue Heron
ACAD-1369,Northern Great Blue Heron
ACAD-1370,American Bittern
ACAD-1371,Cattle Egret
ACAD-1372,Eastern Green Heron
ACAD-1372,Green Heron
ACAD-1372,Green-Backed Heron
ACAD-1373,Little Blue Heron
ACAD-1373,Northern Little Blue Heron
ACAD-1374,Snowy Egret
ACAD-1375,Tricolored Heron
ACAD-1376,Least Bittern
ACAD-1376,Eastern Least Bittern
ACAD-1377,Yellow-Crowned Night Heron
ACAD-1377,Yellow-Crowned Night-Heron
ACAD-1378,Black-Crowned Night Heron
ACAD-1378,Black-Crowned Night-Heron
ACAD-1379,Yellow-Crowned Night Heron
ACAD-1379,Yellow-Crowned Night-Heron
ACAD-1380,American White Pelican
ACAD-1380,White Pelican
ACAD-1381,Brown Pelican
ACAD-1382,Eastern Glossy Ibis
ACAD-1382,Glossy Ibis
ACAD-1383,Common Flicker
ACAD-1383,Flicker
ACAD-1383,Golden-Winged Flicker
ACAD-1383,Northern Flicker
ACAD-1383,Northern Yellow-Shafted Flicker
ACAD-1383,Yellow-Shafted Flicker
ACAD-1384,Northern Pileated Woodpecker
ACAD-1384,Pileated Woodpecker
ACAD-1385,Eastern Red-Bellied Woodpecker
ACAD-1385,Red-Bellied Woodpecker
ACAD-1386,Eastern Red-Headed Woodpecker
ACAD-1386,Red-Headed Woodpecker
ACAD-1387,Arctic Three-Toed Woodpecker
ACAD-1387,Black-Backed Three-Toed Woodpecker
ACAD-1387,Black-Backed Woodpecker
ACAD-1388,Downy Woodpecker
ACAD-1388,Northern Downy Woodpecker
ACAD-1389,American Three-Toed Woodpecker
ACAD-1389,Northern Three-Toed Woodpecker
ACAD-1389,Three-Toed Woodpecker
ACAD-1390,Eastern Hairy Woodpecker
ACAD-1390,Hairy Woodpecker
ACAD-1391,Yellow-Bellied Sapsucker
ACAD-1392,Horned Grebe
ACAD-1393,Holboell's Grebe
ACAD-1393,Holboell's Red-Necked Grebe
ACAD-1393,Red-Necked Grebe
ACAD-1394,Eared Grebe
ACAD-1395,Pied-Billed Grebe
ACAD-1396,Yellow-Nosed Albatross
ACAD-1397,Atlantic Wilson's Petrel
ACAD-1397,Wilson's Petrel
ACAD-1397,Wilson's Storm-Petrel
ACAD-1398,Leach's Petrel
ACAD-1398,Leach's Storm-Petrel
ACAD-1398,Northern Leach's Petrel
ACAD-1399,Cory's Cinereous Shearwater
ACAD-1399,Cory's Shearwater
ACAD-1399,North Atlantic Shearwater
ACAD-1400,Atlantic Fulmar
ACAD-1400,Northern Fulmar
ACAD-1401,Greater Shearwater
ACAD-1402,Sooty Shearwater
ACAD-1403,Manx Common Shearwater
