common_name,Species ID
American Pipit,ACAD-1283
American Water Pipit,ACAD-1283
Water Pipit,ACAD-1283
Greenland Wheatear,ACAD-1284
Northern Wheatear,ACAD-1284
Tufted Titmouse,ACAD-1285
BlackCapped Chickadee,ACAD-1286
Acadian Boreal Chickadee,ACAD-1287
BlackThroated Blue Warbler,ACAD-1288
Northern BlackThroated Blue Warbler,ACAD-1288
BayBreasted Warbler,ACAD-1289
Cerulean Warbler,ACAD-1290
Butter Butt,ACAD-1291
Eastern Myrtle Warbler,ACAD-1291
Myrtle Warbler,ACAD-1291
YellowRumped Warbler,ACAD-1291
Northern Prairie Warbler,ACAD-1292
Prairie Warbler,ACAD-1292
YellowThroated Warbler,ACAD-1293
Blackburnian Warbler,ACAD-1294
Magnolia Warbler,ACAD-1295
Palm Warbler,ACAD-1296
Yellow Palm Warbler,ACAD-1296
ChestnutSided Warbler,ACAD-1297
Eastern Yellow Warbler,ACAD-1298
Yellow Warbler,ACAD-1298
Northern Pine Warbler,ACAD-1299
Pine Warbler,ACAD-1299
Blackpoll Warbler,ACAD-1300
Cape May Warbler,ACAD-1301
Townsends Warbler,ACAD-1302
BlackThroated Green Warbler,ACAD-1303
Northern BlackThroated Green Warbler,ACAD-1303
Common Yellowthroat,ACAD-1304
Maryland Yellow Throat,ACAD-1304
Maryland Yellowthroat,ACAD-1304
Northern Yellowthroat,ACAD-1304
Yellowthroat,ACAD-1304
WormEating Warbler,ACAD-1305
YellowBreasted Chat,ACAD-1306
Black And White Creeper,ACAD-1307
Black And White Warbler,ACAD-1307
BlackAndWhite Warbler,ACAD-1307
Connecticut Warbler,ACAD-1308
Kentucky Warbler,ACAD-1309
Mourning Warbler,ACAD-1310
Northern Parula,ACAD-1311
Northern Parula Warbler,ACAD-1311
Parula Warbler,ACAD-1311
Prothonotary Warbler,ACAD-1312
Common OvenBird,ACAD-1313
Ovenbird,ACAD-1313
Louisiana Waterthrush,ACAD-1314
Northern Waterthrush,ACAD-1315
American Redstart,ACAD-1316
Redstart,ACAD-1316
Eastern OrangeCrowned Warbler,ACAD-1317
OrangeCrowned Warbler,ACAD-1317
GoldenWinged Warbler,ACAD-1318
Tennessee Warbler,ACAD-1319
BlueWinged Warbler,ACAD-1320
Eastern Nashville Warbler,ACAD-1321
Nashville Warbler,ACAD-1321
Canada Warbler,ACAD-1322
Hooded Warbler,ACAD-1323
Wilsons Pileolated Warbler,ACAD-1324
Wilsons Warbler,ACAD-1324
English Sparrow,ACAD-1325
European House Sparrow,ACAD-1325
House Sparrow,ACAD-1325
BlueGray Gnatcatcher,ACAD-1326
Eastern RubyCrowned Kinglet,ACAD-1327
RubyCrowned Kinglet,ACAD-1327
Eastern GoldenCrowned Kinglet,ACAD-1328
GoldenCrowned Kinglet,ACAD-1328
RedBreasted Nuthatch,ACAD-1329
Eastern WhiteBreasted Nuthatch,ACAD-1330
WhiteBreasted Nuthatch,ACAD-1330
Common Starling,ACAD-1331
European Starling,ACAD-1331
Starling,ACAD-1331
LongBilled Marsh Wren,ACAD-1332
Marsh Wren,ACAD-1332
Prairie Marsh Wren,ACAD-1332
Sedge Wren,ACAD-1333
ShortBilled Marsh Wren,ACAD-1333
ShortBilled Sedge Wren,ACAD-1333
Bewicks Wren,ACAD-1334
Eastern Bewicks Wren,ACAD-1334
Carolina Wren,ACAD-1335
Northern Carolina Wren,ACAD-1335
Eastern House Wren,ACAD-1336
House Wren,ACAD-1336
Eastern Winter Wren,ACAD-1337
Winter Wren,ACAD-1337
Bicknells GrayCheeked Thrush,ACAD-1338
Bicknells Thrush,ACAD-1338
Eastern Veery,ACAD-1339
Veery,ACAD-1339
Wilsons Thrush,ACAD-1339
Eastern Hermit Thrush,ACAD-1340
Hermit Thrush,ACAD-1340
GrayCheeked Thrush,ACAD-1341
Northern GrayCheeked Thrush,ACAD-1341
OliveBacked Swainsons Thrush,ACAD-1342
OliveBacked Thrush,ACAD-1342
Swainsons Thrush,ACAD-1342
Wood Thrush,ACAD-1343
Varied Thrush,ACAD-1344
Townsends Solitaire,ACAD-1345
Bluebird,ACAD-1346
Eastern Bluebird,ACAD-1346
American Robin,ACAD-1347
Eastern Robin,ACAD-1347
OliveSided Flycatcher,ACAD-1348
Eastern Wood Pewee,ACAD-1349
Wood Pewee,ACAD-1349
Alder Flycatcher,ACAD-1350
YellowBellied Flycatcher,ACAD-1351
Chebec,ACAD-1352
Least Flycatcher,ACAD-1352
Alder Traills Flycatcher,ACAD-1353
Traills Flycatcher,ACAD-1353
Willow Flycatcher,ACAD-1353
AshThroated Flycatcher,ACAD-1354
Crested Flycatcher,ACAD-1355
Great Crested Flycatcher,ACAD-1355
Northern Crested Flycatcher,ACAD-1355
Vermilion Flycatcher,ACAD-1356
Eastern Phoebe,ACAD-1357
Phoebe,ACAD-1357
Says Phoebe,ACAD-1358
ScissorTailed Flycatcher,ACAD-1359
Eastern Kingbird,ACAD-1360
Arkansas Kingbird,ACAD-1361
Western Kingbird,ACAD-1361
YellowThroated Vireo,ACAD-1362
Eastern Warbling Vireo,ACAD-1363
Warbling Vireo,ACAD-1363
Northern WhiteEyed Vireo,ACAD-1364
WhiteEyed Vireo,ACAD-1364
RedEyed Vireo,ACAD-1365
